Congruent,Incongruent,,,,,Time/s,Quantity/a,,Time/s,Quantity/a
8.63,15.687,7.057,7.964791667,0.907791667,0.824085711,6--10,4,,12--16,1
8.987,17.394,8.407,7.964791667,-0.442208333,0.19554821,10--14,7,,16--20,7
9.401,17.425,8.024,7.964791667,-0.059208333,0.003505627,14-18,9,,20--24,10
9.564,17.51,7.946,7.964791667,0.018791667,0.000353127,18-22,3,,24--28,4
10.639,17.96,7.321,7.964791667,0.643791667,0.41446771,22-26,1,,32--36,2
11.344,18.644,7.3,7.964791667,0.664791667,0.441947961,,,,,
12.079,18.741,6.662,7.964791667,1.302791667,1.697266128,,,,,
12.13,19.278,7.148,7.964791667,0.816791667,0.667148627,,,,,
12.238,20.33,8.092,7.964791667,-0.127208333,0.01618196,,,,,
12.369,20.429,8.06,7.964791667,-0.095208333,0.009064627,,,,,
12.944,20.762,7.818,7.964791667,0.146791667,0.021547794,,,,,
14.233,20.878,6.645,7.964791667,1.319791667,1.741850044,,,,,
14.48,21.157,6.677,7.964791667,1.287791667,1.658407378,,,,,
14.669,21.214,6.545,7.964791667,1.419791667,2.015808378,,,,,
14.692,22.058,7.366,7.964791667,0.598791667,0.35855146,,,,,
15.073,22.158,7.085,7.964791667,0.879791667,0.774033377,,,,,
15.298,22.803,7.505,7.964791667,0.459791667,0.211408377,,,,,
16.004,23.894,7.89,7.964791667,0.074791667,0.005593793,,,,,
16.791,24.524,7.733,7.964791667,0.231791667,0.053727377,,,,,
16.929,24.572,7.643,7.964791667,0.321791667,0.103549877,,,,,
18.2,25.139,6.939,7.964791667,1.025791667,1.052248544,,,,,
18.495,26.282,7.787,7.964791667,0.177791667,0.031609877,,,,,
19.71,34.288,14.578,7.964791667,-6.613208333,43.73452446,,,,,
22.328,35.255,12.927,7.964791667,-4.962208333,24.62351154,,,,,
,,,,,,,,,,
,,0--5,0,,3.360664248,,,,,
,,5--6,0,,,,,,,
,,6--7,5,,,,,,,
,,7--8,13,,,,,,,
,,8--9,4,,,,,,,
,,9--10,0,,,,,,,
,,10--15,2,,,,,,,
